Bank ID,Bank Name,Bank Code,IMPS Status,NEFT Status,Verification Status,IFSC Status,Static IFSC
1,Axis Bank,UTIB,Enabled,Enabled,on,Static IFSC works for IMPS and NEFT,UTIB0002193
2,Bank of Baroda,BARB,Enabled,Enabled,on,Static IFSC works for IMPS and NEFT,BARB0KHARAD
3,Bank of India,BKID,Enabled,Enabled,on,Required,BKID0000500
4,Central Bank of India,CBIN,Enabled,Enabled,on,Static IFSC works for IMPS and NEFT,CBIN0280658
5,Citibank,CITI,Enabled,Enabled,on,Required,NULL
6,HDFC Bank,HDFC,Enabled,Enabled,on,Static IFSC works for IMPS and NEFT,HDFC0000007
7,ICICI Bank,ICIC,Enabled,Enabled,on,Required,NULL
8,IDBI Bank,IBKL,Enabled,Enabled,on,Static IFSC works for IMPS and NEFT,IBKL0000007
9,Indian Bank,IDIB,Enabled,Enabled,on,Static IFSC works for IMPS and NEFT,IDIB000K168
10,Indian Overseas Bank,IOBA,Enabled,Enabled,on,Required,IOBA0000005
11,Punjab National Bank,PUNB,Enabled,Enabled,on,Static IFSC works for IMPS and NEFT,PUNB0038600
13,Union Bank of India,UBIN,Enabled,Enabled,on,Static IFSC works for IMPS and NEFT,UBIN0530786
14,UCO Bank,UCBA,Disabled,Enabled,off,Required,NULL
16,Yes Bank,YESB,Enabled,Enabled,on,Required,NULL
17,Dena Bank,BKDN,Enabled,Enabled,on,Static IFSC works for IMPS and NEFT,BKDN0510259
18,Abhyudaya Co-Op Bank,ABHY,Enabled,Enabled,on,Required,NULL
19,Abu Dhabi Commercial Bank,ADCB,Disabled,Enabled,off,Required,NULL
20,Allahabad Bank,ALLA,Enabled,Enabled,on,Static IFSC works for IMPS and NEFT,ALLA0212052
21,Andhra Bank,ANDB,Enabled,Enabled,on,Static IFSC works for IMPS and NEFT,ANDB0000005
22,Bank of America,BOFA,Enabled,Enabled,off,Required,NULL
23,Bank of Bahrain and Kuwait,BBKM,Disabled,Enabled,off,Required,NULL
24,Bank of Ceylon,BCEY,Disabled,Enabled,off,Required,NULL
25,Bank of Maharashtra,MAHB,Enabled,Enabled,on,Static IFSC works for IMPS and NEFT,MAHB0000001
26,Bank Of Tokyo Mitsubishi Ufj Ltd,BOTM,Disabled,Enabled,off,Required,NULL
27,Barclays Bank,BARC,Enabled,Enabled,on,Required,NULL
28,Bassein Catholic Co-Op Bank,BACB,Enabled,Enabled,on,Required,NULL
29,Bnp Paribas Bank,BNPA,Enabled,Enabled,on,Required,NULL
30,Canara Bank,CNRB,Enabled,Enabled,on,Static IFSC works for IMPS and NEFT,CNRB0000259
32,Catholic Syrian Bank,CSBK,Enabled,Enabled,on,Static IFSC works for IMPS and NEFT,CSBK0000282
33,Chinatrust Commercial Bank,CTCB,Disabled,Enabled,off,Required,NULL
34,Citizen Credit Co-Op Bank,CCBL,Enabled,Enabled,on,Required,NULL
35,City Union Bank,CIUB,Enabled,Enabled,on,Required,CIUB0000005
37,Corporation Bank,CORP,Enabled,Enabled,on,Required,NULL
38,Credit Agricole Corporate And Investment Bank Calyon Bank,CRLY,Disabled,Enabled,off,Required,NULL
39,DBS Bank,DBSS,Enabled,Enabled,on,Required,NULL
41,Deutsche Bank AG,DEUT,Disabled,Enabled,off,Required,NULL
42,Development Credit Bank,DCBL,Enabled,Enabled,on,Required,NULL
43,Dhanlaxmi Bank,DLXB,Enabled,Enabled,on,Required,NULL
44,Deposit Insurance and Credit Guarantee Corporation,DICG,Disabled,Enabled,off,Required,NULL
45,Dombivli Nagari Sahakari Bank,DNSB,Enabled,Enabled,on,Required,NULL
46,Firstrand Bank,FIRN,Disabled,Enabled,off,Required,NULL
47,HSBC,HSBC,Enabled,Enabled,on,Required,NULL
48,IndusInd Bank,INDB,Enabled,Enabled,on,Static IFSC works for IMPS and NEFT,INDB0000002
49,ING Vysya Bank,VYSA,Enabled,Enabled,on,Static IFSC works for IMPS and NEFT,VYSA0005090
50,Janakalyan Sahakari Bank,JSBL,Enabled,Enabled,on,Required,NULL
51,Janata Sahakari Bank Pune,JSBP,Enabled,Enabled,on,Required,NULL
52,JP Morgan Chase Bank,CHAS,Disabled,Enabled,off,Required,NULL
53,Kapole Co-Op Bank,KCBL,Disabled,Enabled,off,Required,NULL
54,Karnataka Bank,KARB,Enabled,Enabled,on,Static IFSC works for IMPS and NEFT,KARB0000005
55,Karur Vysya Bank,KVBL,Enabled,Enabled,on,Required,NULL
56,Kotak Mahindra Bank,KKBK,Enabled,Enabled,on,Static IFSC works for IMPS and NEFT,KKBK0000731
57,Mahanagar Co-Op Bank,MCBL,Enabled,Enabled,on,Required,NULL
58,Maharashtra State Co-Op Bank,MSCI,Enabled,Enabled,on,Required,NULL
59,Mashreq Bank PSC,MSHQ,Disabled,Enabled,off,Required,NULL
