 BankID , BANK_NAME                                                                 ,BANK CODE, IMPS_Status , NEFT_Status ,VERIFICATION
1, Axis Bank                                                                 , UTIB      , Enabled     , Enabled     , On                     
2, Bank of Baroda                                                            , BARB      , Enabled     , Enabled     , On                     
3, Bank of India                                                             , BKID      , Enabled     , Enabled     , On                     
4, Central Bank of India                                                     , CBIN      , Enabled     , Enabled     , On                     
5, Citibank                                                                  , CITI      , Enabled     , Enabled     , On                     
6, HDFC Bank                                                                 , HDFC      , Enabled     , Enabled     , On                     
7, ICICI Bank                                                                , ICIC      , Enabled     , Enabled     , On                     
8, IDBI Bank                                                                 , IBKL      , Enabled     , Enabled     , On                     
9, Indian Bank                                                               , IDIB      , Enabled     , Enabled     , On                     
10, Indian Overseas Bank                                                      , IOBA      , Enabled     , Enabled     , On                     
11, Punjab National Bank                                                      , PUNB      , Enabled     , Enabled     , On                     
12, State Bank of Bikaner and Jaipur                                          , NULL      , Enabled     , Enabled     , On                     
13, Union Bank of India                                                       , UBIN      , Enabled     , Enabled     , On                     
14, UCO Bank                                                                  , UCBA      , Enabled     , Enabled     , On                     
16, Yes Bank                                                                  , YESB      , Enabled     , Enabled     , On                     
17, Dena Bank                                                                 , BKDN      , Enabled     , Enabled     , On                     
18, Abhyudaya Co-Op Bank                                                      , ABHY      , Enabled     , Enabled     , On                     
19, Abu Dhabi Commercial Bank                                                 , ADCB      , Disabled    , Enabled     , Off                    
20, Allahabad Bank                                                            , ALLA      , Enabled     , Enabled     , On                     
21, Andhra Bank                                                               , ANDB      , Enabled     , Enabled     , On                     
22, Bank of America                                                           , BOFA      , Enabled     , Enabled     , Off                    
23, Bank of Bahrain and Kuwait                                                , BBKM      , Disabled    , Enabled     , Off                    
24, Bank of Ceylon                                                            , BCEY      , Disabled    , Enabled     , Off                    
25, Bank of Maharashtra                                                       , MAHB      , Enabled     , Enabled     , On                     
26, Bank Of Tokyo Mitsubishi Ufj Ltd                                          , BOTM      , Disabled    , Enabled     , Off                    
27, Barclays Bank                                                             , BARC      , Enabled     , Enabled     , On                     
28, Bassein Catholic Co-Op Bank                                               , BACB      , Enabled     , Enabled     , On                     
29, Bnp Paribas Bank                                                          , BNPA      , Enabled     , Enabled     , On                     
30, Canara Bank                                                               , CNRB      , Enabled     , Enabled     , On                     
32, Catholic Syrian Bank                                                      , CSBK      , Enabled     , Enabled     , On                     
33, Chinatrust Commercial Bank                                                , CTCB      , Disabled    , Enabled     , Off                    
34, Citizen Credit Co-Op Bank                                                 , CCBL      , Enabled     , Enabled     , On                     
35, City Union Bank                                                           , CIUB      , Enabled     , Enabled     , On                     
37, Corporation Bank                                                          , CORP      , Enabled     , Enabled     , On                     
38, Credit Agricole Corporate And Investment Bank Calyon Bank                 , CRLY      , Disabled    , Enabled     , Off                    
39, DBS Bank                                                                  , DBSS      , Enabled     , Enabled     , On                     
41, Deutsche Bank AG                                                          , DEUT      , Disabled    , Enabled     , Off                    
42, Development Credit Bank                                                   , DCBL      , Enabled     , Enabled     , On                     
43, Dhanlaxmi Bank                                                            , DLXB      , Enabled     , Enabled     , On                     
44, Deposit Insurance and Credit Guarantee Corporation                        , DICG      , Disabled    , Enabled     , Off                    
45, Dombivli Nagari Sahakari Bank                                             , DNSB      , Enabled     , Enabled     , On                     
46, Firstrand Bank                                                            , FIRN      , Disabled    , Enabled     , Off                    
47, HSBC                                                                      , HSBC      , Enabled     , Enabled     , On                     
48, IndusInd Bank                                                             , INDB      , Enabled     , Enabled     , On                     
49, ING Vysya Bank                                                            , VYSA      , Enabled     , Enabled     , On                     
50, Janakalyan Sahakari Bank                                                  , JSBL      , Enabled     , Enabled     , On                     
51, Janata Sahakari Bank Pune                                                 , JSBP      , Enabled     , Enabled     , On                     
52, JP Morgan Chase Bank                                                      , CHAS      , Disabled    , Enabled     , Off                    
53, Kapole Co-Op Bank                                                         , KCBL      , Disabled    , Enabled     , Off                    
54, Karnataka Bank                                                            , KARB      , Enabled     , Enabled     , On                     
55, Karur Vysya Bank                                                          , KVBL      , Enabled     , Enabled     , On                     
56, Kotak Mahindra Bank                                                       , KKBK      , Enabled     , Enabled     , On                     
57, Mahanagar Co-Op Bank                                                      , MCBL      , Enabled     , Enabled     , On                     
58, Maharashtra State Co-Op Bank                                              , MSCI      , Enabled     , Enabled     , On                     
59, Mashreq Bank PSC                                                          , MSHQ      , Disabled    , Enabled     , Off                    
60, Mizuho Corporate Bank                                                     , MHCB      , Disabled    , Enabled     , Off                    
61, New India Co-Op Bank Ltd                                                  , NICB      , Disabled    , Enabled     , Off                    
62, NKGSB Co-Op Bank                                                          , NKGS      , Enabled     , Enabled     , On                     
63, Nutan Nagarik Sahakari Bank                                               , NNSB      , Enabled     , Enabled     , On                     
64, Oman International Bank Saog                                              , OIBA      , Disabled    , Enabled     , Off                    
65, Oriental Bank of Commerce                                                 , ORBC      , Enabled     , Enabled     , On                     
66, Parsik Janata Sahakari Bank                                               , PJSB      , Enabled     , Enabled     , On                     
67, Punjab And Maharashtra Co-Op Bank                                         , PMCB      , Disabled    , Enabled     , On                     
68, Punjab and Sind Bank                                                      , PSIB      , Enabled     , Enabled     , On                     
69, Rajkot Nagarik Sahakari Bank                                              , RNSB      , Enabled     , Enabled     , On                     
70, Reserve Bank of India                                                     , RBIS      , Disabled    , Enabled     , Off                    
71, Shinhan Bank                                                              , SHBK      , Enabled     , Enabled     , Off                    
72, Societe Generale Bank                                                     , SOGE      , Disabled    , Enabled     , Off                    
73, South Indian Bank                                                         , SIBL      , Enabled     , Enabled     , On                     
74, Standard Chartered Bank                                                   , SCBL      , Enabled     , Enabled     , On                     
75, State Bank of Hyderabad                                                   , NULL      , Enabled     , Enabled     , On                     
76, State Bank of Mauritius                                                   , STCB      , Disabled    , Enabled     , Off                    
77, State Bank of Mysore                                                      , NULL      , Enabled     , Enabled     , On                     
78, State Bank of Travancore                                                  , NULL      , Enabled     , Enabled     , On                     
79, State Bank of Patiala                                                     , NULL      , Enabled     , Enabled     , On                     
80, Syndicate Bank                                                            , SYNB      , Enabled     , Enabled     , On                     
81, Tamilnad Mercantile Bank                                                  , TMBL      , Enabled     , Enabled     , On                     
82, Bank of Nova Scotia                                                       , NOSC      , Disabled    , Enabled     , Off                    
83, Ahmedabad Mercantile Co-Op Bank                                           , AMCB      , Enabled     , Enabled     , On                     
84, Bharat Co-Op Bank Mumbai                                                  , BCBM      , Enabled     , Enabled     , On                     
85, Cosmos Co-Op Bank                                                         , COSB      , Enabled     , Enabled     , On                     
86, Federal Bank                                                              , FDRL      , Enabled     , Enabled     , On                     
87, Greater Bombay Co-Op Bank                                                 , GBCB      , Enabled     , Enabled     , On                     
88, Jammu and Kashmir Bank                                                    , JAKA      , Enabled     , Enabled     , On                     
89, Kalupur Commercial Co-Op Bank                                             , KCCB      , Enabled     , Enabled     , On                     
90, Karnataka State Apex Co-Op Bank                                           , KSBC      , Disabled    , Enabled     , Off                    
91, Kalyan Janata Sahakari Bank                                               , KJSB      , Enabled     , Enabled     , On                     
92, Lakshmi Vilas Bank                                                        , LAVB      , Enabled     , Enabled     , On                     
93, Mehsana Urban Co-Op Bank                                                  , MSNU      , Enabled     , Enabled     , On                     
94, Nainital Bank                                                             , NTBL      , Enabled     , Enabled     , On                     
95, The Ratnakar Bank Ltd                                                     , RATN      , Enabled     , Enabled     , On                     
96, Royal Bank of Scotland                                                    , ABNA      , Disabled    , Enabled     , Off                    
97, Saraswat Co-Op Bank                                                       , SRCB      , Enabled     , Enabled     , On                     
98, Shamrao Vithal Co-Op Bank                                                 , SVCB      , Enabled     , Enabled     , On                     
99, The Surat Peoples Co-Op Bank                                              , SPCB      , Enabled     , Enabled     , On                     
100, Thane Janata Sahakari Bank                                                , TJSB      , Enabled     , Enabled     , On                     
101, Tamilnadu State Apex Co-Op Bank                                           , TNSC      , Enabled     , Enabled     , On                     
102, West Bengal State Co-Op Bank                                              , WBSC      , Disabled    , Enabled     , Off                    
103, Vijaya Bank                                                               , VIJB      , Enabled     , Enabled     , On                     
108, State Bank of India                                                       , SBIN      , Enabled     , Enabled     , On                     
109, A P Mahesh Co-Op Urban Bank Ltd                                           , APMC      , Enabled     , Enabled     , On                     
110, Karad Urban Co-Op Bank                                                    , KUCB      , Enabled     , Enabled     , On                     
111, Karnataka State Co-Op Apex Bank                                           , KSCB      , Disabled    , Enabled     , Off                    
